bitrate_gbps,alpha,mac_space,n_frames,modelo,filtrado_pct,descartes_mac_pct,aprendizaje_pct,eficiencia_pct
51.2,0.7,10000,10000,Base,,79.36,31.059475591558304,70.59108527131784
51.2,0.7,10000,10000,Con cache,29.880000000000003,49.480000000000004,43.103815817522914,97.96511627906976
51.2,0.7,10000,10000,CMS+cache,29.880000000000003,49.480000000000004,43.103815817522914,97.96511627906976
51.2,0.7,10000,15000,Base,,79.57333333333332,34.616039502809464,66.35117493472585
51.2,0.7,10000,15000,Con cache,36.906666666666666,42.67333333333333,50.945002554060956,97.68201110022854
51.2,0.7,10000,15000,CMS+cache,36.906666666666666,42.67333333333333,50.945002554060956,97.68201110022854
51.2,0.7,10000,20000,Base,,79.67999999999999,37.579148873509055,62.79527559055118
51.2,0.7,10000,20000,Con cache,41.875,37.805,57.39949933735827,95.91535433070865
51.2,0.7,10000,20000,CMS+cache,41.875,37.805,57.39949933735827,95.91535433070865
51.2,0.7,10000,35000,Base,,79.81714285714285,45.118325603520034,53.70894677236693
51.2,0.7,10000,35000,Con cache,49.885714285714286,29.94,71.16185039838268,84.74720294575839
51.2,0.7,10000,35000,CMS+cache,49.85428571428571,29.97142857142857,71.04293019383994,84.60557994618327
